# Transit light curve
# generated: 2026-09-23T14:50:15.237637+00:00
# target_ra_deg: 329.102
# target_dec_deg: 20.678
# n_comparison_stars: 2
# time_system: BJD_TDB
# BJD_TDB  rel_flux  rel_flux_err
2461306.711249 1.132985 0.002271
2461306.711688 1.114463 0.002240
2461306.712126 1.128368 0.002325
2461306.712564 1.191510 0.002441
2461306.713004 1.367934 0.003015
2461306.713442 1.190541 0.002467
2461306.713881 1.268812 0.002690
2461306.714320 1.199131 0.002482
2461306.715199 1.105990 0.002216
2461306.715638 1.089768 0.002177
2461306.716078 1.111147 0.002227
2461306.716515 1.077337 0.002154
2461306.716953 1.081001 0.002155
2461306.717392 1.089439 0.002174
2461306.717830 1.072305 0.002136
2461306.718270 1.031444 0.002042
2461306.718708 1.063440 0.002114
2461306.719147 1.104646 0.002200
2461306.719584 1.025678 0.002032
2461306.720022 1.052468 0.002084
2461306.720460 1.056391 0.002105
2461306.720903 1.075153 0.002129
2461306.721342 1.104515 0.002218
2461306.721779 1.061283 0.002110
2461306.722217 1.079420 0.002156
2461306.722656 1.062906 0.002106
2461306.723095 1.116119 0.002242
2461306.723536 1.014794 0.002014
2461306.723974 1.248260 0.002555
2461306.724415 1.102425 0.002198
2461306.724853 1.100207 0.002200
2461306.725293 1.074058 0.002136
2461306.725733 1.052237 0.002084
2461306.726173 1.116486 0.002239
2461306.726611 1.034278 0.002064
2461306.727049 1.026135 0.002038
2461306.727487 1.038456 0.002053
2461306.727925 1.101165 0.002200
2461306.728364 1.066653 0.002125
2461306.728802 1.056115 0.002096
2461306.729238 1.048731 0.002085
2461306.729678 1.082514 0.002160
2461306.730115 1.109905 0.002232
2461306.730551 1.089119 0.002179
2461306.730990 1.063157 0.002120
2461306.731429 1.097695 0.002197
2461306.731868 1.141382 0.002291
2461306.732307 1.028088 0.002057
2461306.732748 1.041037 0.002078
2461306.733187 1.003729 0.001997
2461306.733626 1.087284 0.002187
2461306.734064 1.051841 0.002098
2461306.734502 1.074930 0.002152
2461306.734941 1.024683 0.002042
2461306.735380 1.082685 0.002167
2461306.735819 1.036085 0.002069
2461306.736257 1.061487 0.002122
2461306.736694 1.097536 0.002197
2461306.737132 1.188232 0.002406
